w_cat,T,p_tot,F_in_Inert,F_in_A,F_in_B,F_in_C,F_out_Inert,F_out_A,F_out_B,F_out_C
0.5,398.0,1.0,1.2,0.8,0.0,0.0,1.2096737210293524,0.7212596029198568,0.07889708583402022,0.005528878314571272
0.5,398.0,1.0,1.4,0.6,0.0,0.0,1.4262567831079658,0.5429718789091096,0.05819597302201244,0.004131309972092527
0.5,398.0,1.0,1.6,0.4,0.0,0.0,1.5771585598419577,0.36506791233433084,0.03842266294340339,0.0026623129206119352
0.5,423.0,1.0,0.8,1.2,0.0,0.0,0.8118625148534768,0.910616647112245,0.2585606326768007,0.028720880677474896
0.5,423.0,1.0,1.0,1.0,0.0,0.0,0.9814445830906364,0.7701506953171875,0.21594755477187694,0.023519488721666648
0.5,423.0,1.0,1.2,0.8,0.0,0.0,1.2016275775404963,0.6039646870199266,0.17200419370281783,0.019408120515884447
0.5,423.0,1.0,1.4,0.6,0.0,0.0,1.3918450879862747,0.4537015298025727,0.13295224527928817,0.014242171592663977
0.5,423.0,1.0,1.6,0.4,0.0,0.0,1.6106023905086833,0.30388128755284094,0.08808216018089564,0.009575316196657144
0.5,448.0,1.0,0.8,1.2,0.0,0.0,0.8000362232327176,0.6175402189980775,0.4852149745520034,0.08094904679223923
0.5,448.0,1.0,1.0,1.0,0.0,0.0,1.001591893037478,0.5201471177012683,0.40329720705293953,0.06674051526495514
0.5,448.0,1.0,1.2,0.8,0.0,0.0,1.1764173591051377,0.41750660692376096,0.3279485918477431,0.053683225744826514
0.5,448.0,1.0,1.4,0.6,0.0,0.0,1.4267183129413694,0.3208623660641378,0.24692738639492126,0.03938844840109656
0.5,448.0,1.0,1.6,0.4,0.0,0.0,1.5697485676868244,0.21335405853654976,0.16649119480806018,0.02613989336341665
0.5,473.0,1.0,0.8,1.2,0.0,0.0,0.8123335925289613,0.3046613532985459,0.7279499029362256,0.1687526765390305
0.5,473.0,1.0,1.0,1.0,0.0,0.0,1.0084204034762996,0.2532925583821017,0.5977201198916369,0.14294557344320818
0.5,473.0,1.0,1.2,0.8,0.0,0.0,1.1804922289322717,0.2013725582000198,0.47940602828590956,0.11087427504003936
0.5,473.0,1.0,1.4,0.6,0.0,0.0,1.410198593851797,0.14789504303891232,0.3624073483423903,0.08443605048506476
0.5,473.0,1.0,1.6,0.4,0.0,0.0,1.597523519405024,0.09818143121919733,0.24505882036088764,0.05629550422975872
